id_noticia,titulo_noticia,link_noticia
1,A saga do Landau: como Rafinha restaurou carro de 44 anos e ganhou relíquia,https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/20/a-saga-do-landau-como-rafinha-do-sao-paulo-restaurou-carro-de-44-anos-e-ganhou-reliquia-inegociavel.ghtml
2,"PSG de olho: São Paulo negocia para ter ""fatia"" maior de Beraldo",https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/19/sao-paulo-vai-negociar-fatia-dos-direitos-economicos-de-beraldo-na-mira-do-psg.ghtml
3,"São Paulo terá novo patrocinador máster; veja valores
Tricolor chega a acordo com a casa de apostas Superbet",https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/19/sao-paulo-fecha-acordo-com-casa-de-apostas-e-recebera-r-156-milhoes-em-tres-anos.ghtml
4,São Paulo ajusta detalhes e se aproxima de renovar com Lucas,https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/19/sao-paulo-ajusta-detalhes-e-fica-proximo-de-renovar-com-lucas-por-tres-anos.ghtml
5,Méndez troca de agentes e visa saída para futebol europeu,https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/19/mendez-troca-de-agentes-e-visa-saida-do-sao-paulo-para-futebol-europeu.ghtml
6,São Paulo se aproxima de acordo por naming rights do Morumbi,https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/18/sao-paulo-se-aproxima-de-acordo-milionario-de-venda-de-naming-rights-do-morumbi.ghtml
7,Férias? Rodrigo Nestor terá plano especial até depois do Natal,https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/18/ferias-rodrigo-nestor-segue-recuperacao-no-sao-paulo-e-tera-plano-especial-ate-depois-do-natal.ghtml
8,Libertadores 2024: veja ranking para divisão dos potes de sorteio,https://ge.globo.com/futebol/libertadores/noticia/2023/12/18/libertadores-2024-veja-ranking-para-divisao-dos-potes-de-sorteio.ghtml
9,Chegada de Bobadilla pressiona clube a se desfazer de estrangeiros,https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/17/quem-vai-sair-contratacao-de-bobadilla-pressiona-sao-paulo-a-se-desfazer-de-estrangeiros.ghtml
10,São Paulo goleia o Milan em jogo cheio de homenagens; fotos,https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/16/sao-paulo-goleia-o-milan-em-amistoso-recheado-de-homenagens-veja-fotos.ghtml
11,Lucas fica? Bobadilla assinou? E o Ferreira? Casares abre o jogo,https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/16/casares-esta-otimista-por-lucas-e-chegada-de-bobadilla-ao-sao-paulo-mas-adota-cautela-sobre-ferreira.ghtml
12,Muito além de Müller: veja 15 campeões mundiais que só jogaram em um clube,https://ge.globo.com/futebol/futebol-internacional/noticia/2023/12/20/muito-alem-de-muller-veja-15-campeoes-mundiais-que-so-jogaram-em-um-clube.ghtml
13,Mapa da artilharia no Brasileirão 2023: veja ranking dos gols da Série A por estado,https://ge.globo.com/pb/futebol/noticia/2023/12/20/mapa-artilharia-campeonato-serie-a-brasileirao-2023-ranking-gols-estado.ghtml
14,"Antes de se apresentar ao São Paulo, atacante Erick se recupera de edema no CT do Náutico",https://ge.globo.com/pe/futebol/times/nautico/noticia/2023/12/19/antes-de-se-apresentar-ao-sao-paulo-erick-se-recupera-de-edema-no-ct-do-nautico.ghtml
15,Caxias-RS acerta com filho de Diego Lugano para o Gauchão,https://ge.globo.com/rs/futebol/campeonato-gaucho/noticia/2023/12/19/caxias-rs-acerta-com-filho-de-diego-lugano-para-o-gauchao.ghtml
16,"Em tom de despedida, David agradece ao São Paulo e deve definir o futuro nas próximas semanas",https://ge.globo.com/es/futebol/noticia/2023/12/18/em-tom-de-despedida-david-agradece-ao-sao-paulo-e-deve-definir-o-futuro-nas-proximas-semanas.ghtml
17,PSG sinaliza oferta ao São Paulo e entra em disputa pela contratação de Beraldo,https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/18/psg-sinaliza-oferta-ao-sao-paulo-e-entra-em-disputa-pela-contratacao-de-beraldo.ghtml
18,Cartola 2023: Luciano assume protagonismo após lesão de Calleri e é o maior pontuador do São Paulo,https://ge.globo.com/cartola/noticia/2023/12/18/cartola-2023-luciano-assume-protagonismo-apos-lesao-de-calleri-e-e-o-maior-pontuador-do-sao-paulo.ghtml
19,"São Paulo consegue virada, mas Nacional empata e vence na prorrogação",https://ge.globo.com/basquete/noticia/2023/12/17/sao-paulo-consegue-virada-mas-nacional-empata-e-vence-na-prorrogacao.ghtml
20,"Capixabas David Corrêa, Lincoln e Hayner arrecadam alimentos em jogo solidário",https://ge.globo.com/es/futebol/noticia/2023/12/17/capixabas-david-correa-lincoln-e-hayner-arrecadam-alimentos-em-jogo-solidario.ghtml
21,"Presidente do São Paulo admite ""outra realidade"" e atribui venda de Beraldo a proposta irrecusável",https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/16/casares-admite-outra-realidade-e-atribui-venda-de-beraldo-a-proposta-irrecusavel.ghtml
22,FPF convoca reunião com clubes paulistas para buscar apoio a Ednaldo Rodrigues na CBF,https://ge.globo.com/sp/futebol/noticia/2023/12/16/fpf-convoca-reuniao-com-clubes-paulistas-para-buscar-apoio-a-ednaldo-rodrigues-na-cbf.ghtml
23,Cartola Express: são-paulino confia na defesa do Bragantino e fatura R$ 10 mil na rodada #37,https://ge.globo.com/cartola/cartola-express/noticia/2023/12/16/cartola-express-sao-paulino-confia-na-defesa-do-bragantino-e-fatura-r-10-mil-na-rodada-37.ghtml
24,Leicester avisa ao São Paulo que vai cobrir oferta do Zenit pelo zagueiro Beraldo; veja valores,https://ge.globo.com/futebol/times/sao-paulo/noticia/2023/12/16/leicester-avisa-ao-sao-paulo-que-vai-cobrir-oferta-do-zenit-pelo-zagueiro-beraldo-veja-valores.ghtml
25,Grupos da Copa Votorantim sub-15 2024 são sorteados; veja datas e jogos,https://ge.globo.com/sp/tem-esporte/copa-de-futebol-sub-15/noticia/2023/12/16/grupos-da-copa-votorantim-sub-15-2024-sao-sorteados-veja-datas-e-jogos.ghtml
